id,title,description,image,method_of_making,animation,perceptual_realism,encodings,contextual,mechanisms,link
ex-049,"Think Globally, Visualise Locally",Video Segment: 0:43-1:34.,media/ex-049.png,3D render,Dynamic,Intermediate,Size; Count; Size; Size; Size,Simple Materials; Shape; Spatial Arrangement - Stacking; Simple Materials; Shape; Shape; Simple Materials; Position; Environment / Background; Camera; Lighting,Rigid-Body Mechanics; Force Fields & Particles,https://www.realworldvisuals.com/rwv-projects/think-globally-visualise-locally
ex-050,Coral Cities,,media/ex-050.png,3D render,Dynamic,Intermediate,Size; Position; Shape; Material Transformations,Shape; Other; Lighting,Growth,https://www.behance.net/gallery/70862691/Coral-Cities-An-Ito-Design-Lab-Concept
ex-051,Make sense of it all: Mapping Movement,"Segment: Entire Video (12 seconds - at the end of the section ""Visuals"")",media/ex-051.png,3D render,Dynamic,High,Position; Count; Size; Position; Spatial Arrangement - Other; Position; Position,Simple Materials; Spatial Arrangement - Packing; Shape; Simple Materials; Spatial Arrangement - Geographical; Shape; Simple Materials; Environment / Background; Lighting; Camera,Rigid-Body Mechanics,https://www.behance.net/gallery/162831571/Make-sense-of-it-all-Mapping-Movement
ex-052,Where is My Bus Filling,Entire Video (at the bottom of the article),media/ex-052.png,3D render,Dynamic,High,Count; Size; Position; Size; Position; Position; Position,Simple Materials; Shape; Position; Spatial Arrangement - Concentration; Shape; Simple Materials; Spatial Arrangement - Path; Spatial Arrangement - Path; Environment / Background; Camera; Lighting,Living Movement; Rigid-Body Mechanics,https://www.behance.net/gallery/184974961/TransitVizThursday-Innovative-Transit-DataViz#
ex-053,Forestry Management Corruption,,media/ex-053.png,3D render,Static,High,Position; Position,Simple Materials; Shape; Simple Materials; Shape; Camera; Lighting,,https://www.behance.net/gallery/17843207/Forestry-3D-infographics?tracking_source=search_projects|3d+infographic&l=152
ex-054,Commuter Flowers,,media/ex-054.png,3D render,Static,High,Position; Orientation; Size; Material Transformations; Position; Simple Materials; Position,Shape; Spatial Arrangement - Geographical; Lighting; Environment / Background,,https://www.behance.net/gallery/136828809/Commuter-Flowers
ex-055,World Wealth Distribution,Segment: entire video,media/ex-055.png,3D render,Dynamic,High,Count; Size; Simple Materials; Position; Count; Size,Simple Materials; Shape; Position; Spatial Arrangement - Packing; Spatial Arrangement - Packing; Shape; Simple Materials; Spatial Arrangement - Alignment; Camera; Lighting; Environment / Background,Rigid-Body Mechanics; Rigid-Body Mechanics; Rigid-Body Mechanics; Rigid-Body Mechanics,https://www.youtube.com/shorts/itRcmiAQRho
ex-056,Fibers,Entire Video,media/ex-056.png,3D render,Dynamic,Intermediate,Size; Simple Materials; Size; Position; Shape,Shape; Simple Materials; Spatial Arrangement - Other; Camera; Environment / Background; Lighting,Self-onrganization & Patterns,https://variable.io/fibers/
ex-057,Cost of Living in LA,,media/ex-057.png,Graphic design - Illustration,Static,Intermediate,Size; Material Transformations; Other; Position,Spatial Arrangement - Other,,https://www.behance.net/gallery/134157179/Data-Doodles-2021#
ex-058,The Gradient of Naturality,,media/ex-058.png,3D render,Static,High,Position; Size; Simple Materials; Size; Position,Shape; Shape; Spatial Arrangement - Geographical; Lighting; Camera,,https://www.behance.net/lavergneflor?tracking_source=for_you_logged_in_feed_recommended
ex-059,The Growing Problem of Mining Tailings,,media/ex-059.png,Graphic design - Illustration,Static,High,Size; Position; Simple Materials; Size; Size,Shape; Simple Materials; Spatial Arrangement - Other; Environment / Background; Camera; Lighting,Fluids; Fluids,https://www.voronoiapp.com/natural-resources/The-Growing-Problem-of-Mining-Tailings-Visualized-7024
ex-060,How much water do we consume in 70 years,Segment: entire video,media/ex-060.png,3D render,Dynamic,High,Size; Position; Size,Simple Materials; Shape; Spatial Arrangement - Alignment; Shape; Simple Materials; Camera; Environment / Background; Lighting,,https://www.youtube.com/shorts/J8UtBisJsq0
ex-061,Per capita freshwater withdrawal,,media/ex-061.png,Photograph of physical artefact,Static,High,Size; Inflate / Deflate; Position,Shape; Simple Materials; Shape; Simple Materials; Spatial Arrangement - Alignment; Environment / Background; Lighting; Camera,,https://www.circleofblue.org/2011/world/infographic-freshwater-withdrawal-by-g7-country/
ex-062,The Tallest Tress in the World,,media/ex-062.png,3D render,Dynamic,High,Size; Position; Size,Shape; Simple Materials; Other; Spatial Arrangement - Other; Simple Materials; Shape; Position; Environment / Background; Camera; Lighting,Growth; Living Movement; Living Movement,https://www.youtube.com/watch?v=-6-ADt4Ijxc
ex-063,Hurricane Size Comparison,Entire video,media/ex-063.png,3D render,Dynamic,High,Size; Position,Orientation; Shape; Simple Materials; Spatial Arrangement - Geographical; Lighting; Environment / Background; Camera,Wind,https://www.youtube.com/watch?v=5AnxAHZ81Uk
ex-064,OG:CRYSTALS,"Each crystal represents the history of its transactions. It starts with a seed by the original buyer. Then a new part is generated every time the crystal is sold, based on the new each owner's wallet ID and history.",media/ex-064.png,3D render,Static,High,Simple Materials; Shape; Count; Other,Spatial Arrangement - Other; Lighting; Spatial Arrangement - Other,Other,https://ogcrystals.com/
ex-065,Geothermal energy potential in the US,,media/ex-065.png,Graphic design - Illustration,Static,Low,Position; Position; Material Transformations,Spatial Arrangement - Alignment; Environment / Background; Lighting,,https://www.behance.net/gallery/224105907/Escape-Velocity-Climate-Series-for-Vox?tracking_source=search_projects|procedural+data&l=97
ex-066,Representation of the World Population,Segment: entire video,media/ex-066.png,3D render,Dynamic,Intermediate,Size; Simple Materials; Position,Orientation; Shape; Spatial Arrangement - Geographical; Lighting; Camera,Rigid-Body Mechanics,https://www.youtube.com/shorts/uJjQDEVmr5Y
ex-067,Growth Speed Comparison of Common Plants,Entire Video,media/ex-067.png,Other,Dynamic,Intermediate,Other; Size; Simple Materials; Shape; Size,Spatial Arrangement - Other; Camera; Lighting; Environment / Background,,https://www.instagram.com/p/DRctzDGCI4-/
ex-068,Star's Color and Temperature,Entire Video,media/ex-068.png,3D render,Dynamic,High,Simple Materials,Shape; Simple Materials; Orientation; Environment / Background; Camera,Rigid-Body Mechanics,https://www.instagram.com/p/DR4assPCKUG/
ex-069,Fossil fuels - The rate we Use Them,Segment: 0:25-0:51,media/ex-069.png,3D render,Dynamic,High,Size; Size,Simple Materials; Other; Environment / Background; Camera; Lighting,Fluids,https://www.youtube.com/watch?v=CmR8zSE8k1I
ex-070,Rockslide Festival Activity,,media/ex-070.png,3D render,Dynamic,Low,Position; Position; Simple Materials; Material Transformations; Position,Spatial Arrangement - Geographical; Environment / Background; Camera,,https://variable.io/festival-activity/
ex-071,Metamorphose – Overgrowing Hate,"Video Segment: 0:55-1:20
Flowers grow when a new toxic word is detected.
The type of the toxic word is encoded by the type of flower.",media/ex-071.png,3D render,Dynamic,Intermediate,Shape; Simple Materials; Position; Orientation,Other; Spatial Arrangement - Other; Camera; Lighting,Growth; Self-onrganization & Patterns,https://www.behance.net/gallery/138626999/metamorphose-overgrowing-hate?tracking_source=search_projects|data+sculpture&l=81
ex-072,Tallest Rocket Ever Built,Entire Video,media/ex-072.png,3D render,Dynamic,High,Position; Size; Shape; Simple Materials; Simple Materials,Other; Simple Materials; Spatial Arrangement - Alignment; Environment / Background; Camera; Lighting,Deformable Solid Mechanics,https://www.instagram.com/p/DRj52LlDVFX/
